# ARM 官方文档归档清单(为《系统虚拟化原理与实现》服务)
#
# 字段:
#   category    物理归档子类(如 01-arm-architecture/1.1-arm-arm)
#   id          短标识符(用于文件名、视图引用)
#   doc_id      ARM 官方文档编号(DDI/IHI/DEN/AES/DAI/无)
#   title       中英混合的描述性标题
#   url         下载或详情页 URL
#   type        pdf=直链 PDF; html=详情页(需手动下 PDF)
#   views       逗号分隔,标注属于哪些视图
#               overview        = 系统虚拟化总览
#               app-lifecycle   = 应用:VM 生命周期
#               app-hyp-impl    = 应用:Hypervisor 实现
#               A=架构基础  B=CPU 虚拟化  C=内存虚拟化  D=中断虚拟化
#               E=I/O 虚拟化  F=资源 QoS  G=ARM 机密计算
#   role        在视图中的角色(可选,逗号分隔):核心/相关/背景/备查
#   note        简短说明(可选)
#
# 行格式: tab 分隔
# 注释行以 # 开头会被脚本忽略

#category	id	doc_id	title	url	type	views	role	note

# ============================================================
# 一、ARM 架构(10 份)
# ============================================================

# 1.1 Architecture Reference Manual
01-arm-architecture/1.1-arm-arm	ddi0487-detail	DDI 0487	Arm ARM for A-profile architecture	https://developer.arm.com/documentation/ddi0487/latest/	html	overview,A,B,C,D,E,F,G,app-lifecycle,app-hyp-impl	核心	唯一权威规范;视图 H 第 1 层
01-arm-architecture/1.1-arm-arm	ddi0487-Mb-pdf	DDI 0487 M.b	Arm ARM A-profile Issue M.b (PDF mirror)	https://documentation-service.arm.com/static/69d7cbfc3fb3b839f93e5b1e	pdf	overview	核心	DDI 0487 的可下载 PDF 镜像
01-arm-architecture/1.1-arm-arm	ddi0587-ras	DDI 0587 D.d	RAS System Architecture Specification (PDF mirror, 2022)	https://documentation-service.arm.com/static/63185614f72fad1903828eda	pdf	A	备查	备查;不入主链路
01-arm-architecture/1.1-arm-arm	102404-arm-arch-intro	102404	Learn the architecture - Introducing the Arm architecture (PDF mirror, 2026)	https://documentation-service.arm.com/static/695e8d82d5db6f611870899f	pdf	overview,A	背景	ARM 架构入门;接替已下线的 DEN 0024A

# 1.2 异常模型
01-arm-architecture/1.2-exception-model	102412-exception	102412	Learn the architecture - AArch64 Exception Model (PDF mirror, 2025)	https://documentation-service.arm.com/static/67ac57fb091bfc3e0a9479cc	pdf	overview,A,B,D,app-lifecycle,app-hyp-impl	核心	陷入路径、vIRQ/vFIQ/vSError 注入

# 1.3 系统级架构
01-arm-architecture/1.3-system-architecture	den0029-sbsa	DEN 0029	Server Base System Architecture SBSA (PDF mirror, 2025)	https://documentation-service.arm.com/static/68c934bd8a337a2bc66460b3	pdf	overview,E,F,G,app-lifecycle	相关	服务器虚拟化强制要求
01-arm-architecture/1.3-system-architecture	den0094-bsa	DEN 0094	Arm Base System Architecture BSA (PDF mirror, 2025)	https://documentation-service.arm.com/static/6870cb719f5181111629af04	pdf	overview,app-lifecycle	相关	通用平台基线
01-arm-architecture/1.3-system-architecture	den0044-bbr	DEN 0044	Arm Base Boot Requirements BBR Issue I (PDF mirror, 2025)	https://documentation-service.arm.com/static/68512137d12d1a1df64f239d	pdf	overview,app-lifecycle	相关	VM firmware 接口
01-arm-architecture/1.3-system-architecture	den0107-bbsr	DEN 0107	Base Boot Security Requirements BBSR Issue 1.4 (PDF mirror, 2025)	https://documentation-service.arm.com/static/68775ff446dc1e49e34ba2b0	pdf	overview,app-lifecycle,G	相关	安全启动;配 BBR、CCA Measured Boot 链路引用

# 1.4 启动与固件接口
01-arm-architecture/1.4-firmware-interfaces	den0022-psci	DEN 0022 F.b	Arm Power State Coordination Interface PSCI v1.3 (PDF mirror, 2024)	https://documentation-service.arm.com/static/6703a8b8d7e4b739d817e10d	pdf	overview,B,app-lifecycle,app-hyp-impl	核心	VM CPU 启停/挂起/关机
01-arm-architecture/1.4-firmware-interfaces	den0028-smccc	DEN 0028 H BET0	SMC Calling Convention SMCCC v1.7 (PDF mirror, 2026)	https://documentation-service.arm.com/static/69e76af112ab715369d352e6	pdf	overview,B,G,app-lifecycle,app-hyp-impl	核心	SMC/HVC 调用约定
01-arm-architecture/1.4-firmware-interfaces	102677-systemready	102677	SystemReady Band Integration and Testing Guide v5.0 Issue 03 (PDF mirror, 2026)	https://documentation-service.arm.com/static/69934e8f8faf2543f4a0eda6	pdf	(无)	相关	SystemReady 集成与测试实操;不入虚拟化视图链路

